,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
44,2011 Sep  ,146411.2,19.1,75710.1,222140.4,1.078255914,4.137039908,5.024879311,,
248,2012 Sep  ,1112393.127,33.981,131573.4458,1244000.554,1.222769849,8.943066749,10.29393678,,
104,2013 Sep  ,283919.7525,1.275,138356.7529,422277.7804,1.030992427,4.952016953,5.63578144,,
68,2014 Sep  ,180510.78,3.16,99700.76,280214.7,0.982075192,4.456014132,5.358449762,,
8,2015 Sep  ,91571,17,43012,134600,1.15666419,4.129405646,5.043781575,,
152,2016 Sep  ,465638.596,7.155133,174845.6481,640491.3993,1.031154124,5.966986316,6.7214064,,
212,2017 Sep  ,775333.9292,31.16493282,116024.2655,891389.3596,1.186197687,9.005122285,9.951240554,,
20,2018 Sep  ,109763,5,48473,158241,1.125233031,4.077205023,5.065615106,,
236,2019 Sep  ,1043918.575,15.05855503,334644.9442,1378578.577,1.108819603,7.508780212,8.741960907,,
116,2020 Sep  ,306960.953,3.642,166177.1345,473141.7294,0.929432447,5.188740253,5.978443073,,
140,2021 Sep  ,376811.6633,8.179,160067.6849,536887.5271,1.005741631,6.177755591,6.909530219,,
56,2022 Sep  ,168986,5.8,87723.1,256714.9,1.012683331,4.275773241,5.287577386,,
200,2023 Sep  ,650011.1552,65.84943355,264590.4825,914667.4871,0.921722549,7.392044166,8.137920622,,
224,2024 Sep  ,996379.8508,31.74795814,299544.1897,1295955.789,1.017587511,7.291133803,8.092946028,,
